occupancy,block_size,waves_per_SM,ipc,warp_cycles_per_instruction,no_eligible_warp,l1_hit,l2_hit
49.73, 32, 97.66, 0.73, 43.38, 81.44, 0, 77.36
95.78, 64, 48.83, 0.80, 77.86, 79.42, 0, 69.57
95.22, 128, 48.83, 0.82, 73.49, 79.54, 0, 69.52
93.93, 256, 48.83, 0.79, 75.29, 80.18, 0, 69.89
93.52, 512, 48.84, 0.79, 75.53, 79.91, 0, 70.32
91.26, 1024, 48.85, 0.78, 76.46, 79.24, 0, 70.61
