occupancy,block_size,waves_per_SM,ipc,warp_cycles_per_instruction,no_eligible_warp,l1_hit,l2_hit
78.55, 128, 51.20, 1.18, 42.22, 70.38, 0, 49.64
80.61, 256, 51.20, 1.18, 43.48, 70.49, 0, 50.05
81.09, 512, 45.08, 1.14, 45.08, 71.18, 0, 50.06
76.35, 1024, 51.20, 0.98, 49.46, 74.90, 0, 50.07
