occupancy,block_size,waves_per_SM,ipc,warp_cycles_per_instruction,no_eligible_warp,l1_hit,l2_hit
28.77, 96, 0.30, 1.02, 17.23, 73.13, 0, 96.31
55.18, 192, 0.64, 1.24, 24.43, 63.01, 0, 93.95
75.65, 384, 1.28, 1.22, 33.60, 64.47, 0, 91.20
68.06, 768, 3.20, 1.34, 28.99, 62.70, 0, 94.97
75.25, 960, 1.60, 1.18, 32.55, 62.08, 0, 89.96
