occupancy,block_size,grid_size,threads,waves_per_SM,instructions,ipc,warp_cycles_per_instruction,active_warps_per_scheduler,no_eligible_warp,l1_hit,l2_hit
37.13, 512, 2720, 1392640, 40, 19529034824, 0.75, 15.67, 3.41, 78.26,99.72, 96.55
38.27, 256, 2720, 696320, 20, 9193182772, 0.78, 15.61, 3.20, 79.51, 99.74, 96.74
41.27, 128, 2720, 348160, 10, 4025909546, 0.84, 15.58, 3.32, 78.72, 99.67, 96.75
43.15, 64, 2720, 174080, 5, 1870167013, 0.88, 15.56, 3.47, 77.69, 99.66, 97.10
42.45, 32, 2720, 87040, 2.50, 792461252, 0.85, 15.56, 3.41, 78.06, 99.55, 97.00
