occupancy,block_size,waves_per_SM,ipc,warp_cycles_per_instruction,no_eligible_warp,l1_hit,l2_hit
97.25, 1024, 0.97, 0.44, 60.21, 86.96, 63.82, 92.97
46.44, 512, 0.49, 0.63, 20.72, 81.08, 84.60, 98.54
23.13, 256, 0.24, 0.38, 17.37, 88.64, 97.45, 98.98
11.76, 128, 0.12, 0.20, 17.45, 94.26, 96.40, 96.54
6.04, 64, 0.06, 0.10, 17.68, 94.34, 95.64, 84.86
3.12, 32, 0.06, 0.05, 18.02, 94.45, 93.65, 69.29
